tweet_id,text,retweet_count,like_count
1608795136049150000,"From production to consumption, #foodsafety is a shared responsibility that calls for collaboration across sectors.

We’re working with our #OneHealth partners to improve food safety globally. #EveryonesHealth https://t.co/KCe3ijAzO4",15,73
1608387499017080000,"Humans and animals alike depend on healthy #ecosystems that require rich #biodiversity to thrive.

Our #OneHealth partnership with @UNEP, @FAO &amp; @WHO  recognises that we must all work together to protect the environment &amp; our collective health. https://t.co/JHE2xIk3TM",28,70
1607715701862670000,"Responding to looming epidemics requires cross-sectoral collaboration through the #OneHealth approach, incl. public–private partnerships. Isolated responses to seemingly separate issues are no longer enough – we must work together.
https://t.co/lBUrnWQcKX
#EpidemicPreparednessDay",160,2168
1607662675005240000,"Today is International #EpidemicPreparednessDay!
 
To effectively prevent and respond to epidemics, we need resilient and robust health systems. Collaboration through the #OneHealth approach is key – isolated systems will not suffice.
https://t.co/yoV0iANLKu https://t.co/wEEO3v03gk",272,4088
1606657233630250000,"Environmental degradation creates undeniable health risks for animals and humans.

We’re calling on our Members to ensure Veterinary Services have the resources to monitor and prevent disease spillover from wildlife through careful surveillance. #OneHealth https://t.co/dWHCJk2KyV",27,74
1605246839074310000,"Animal health is #EveryonesHealth.

The #OneHealth Joint Plan of Action will guide the integration of health systems across sectors to collectively prevent, predict, detect &amp; respond to disease threats like #monkeypox, #COVID19 &amp; #Ebola 👉 https://t.co/N2UHoGXlKU

#OneHealth https://t.co/ViOVI4B9FM",21,62
1604476681225670000,"Mosquitos🦟 can transmit diseases like 🦠 Rift Valley Fever 🦠, a zoonosis that affects both animals and humans.

Through our #EBOSURSY initiative, we’re helping #VeterinaryServices👩‍⚕️👨‍⚕️ and others recognize the signs of RVF with a #OneHealth approach 👉 https://t.co/p5a4EkgnjU https://t.co/BrdGCUmmHQ",40,107
1603872742503240000,"What does coordinated strategy against rabies look like?

✅appropriate surveillance &amp; reporting
✅coordinated dog vaccination campaigns
✅effective dog population management
✅impactful public awareness campaigns

Let’s work together to end rabies deaths. #ZeroBy30 #OneHealth https://t.co/9fEkYEr2Y9",16,45
1603510299667080000,"75% of the world’s dogs 🐕 roam the streets freely, increasing the risk of 🦠 rabies transmission 🦠.

Learn how we’re working to reduce that risk and ultimately achieve zero rabies deaths 👉 https://t.co/NO1BClPbfI

#ZeroBy30 #OneHealth #EveryonesHealth https://t.co/3FGTtChEOq",13,54
1603072479966250000,"Why is a preventable disease still killing over 59,000 people (mostly children) 👧🏻🧒🏽👦🏿 every year?
 
Don’t hesitate to vaccinate💉 dogs against #rabies🦠 – this simple shot could save a child’s life.

#ZeroBy30 #OneHealth https://t.co/PAKCG5EocF",47,84
1602347914214470000,"#DYK? data plays a key role in the fight against #AntiMicrobialResistance 🦠
 
We count on👨‍⚕️👩‍⚕️ animal health professionals to record data whenever #antimicrobials are used in animals 💉 so that we can improve our #AMR  guidance and monitor the global situation. #OneHealth https://t.co/CrnwDwLDbK",16,46
1601185163261750000,"#DYK? The global animal health workforce consists of around 9M veterinarians &amp; 10 veterinary paraprofessionals (including community animal health workers), according to #WAHIS data.

For #VeterinaryMedicineDay we thank all who work to protect #animalhealth. #OneHealth https://t.co/cH0NldzRDT",21,70
1600822622866100000,"Wildlife authorities lead in the protection of wild birds from #avianinfluenza.

What measures can they take to reduce risks associated with the disease? Our new guidance uses a #OneHealth approach, considering the health of wild birds, poultry &amp; people 👉https://t.co/xVidNs6d5f https://t.co/bF0Xu8uhpI",16,37
1599357853038390000,"Today is World #WildlifeConservationDay!
 
#Wildlife is essential to maintaining…
 
✅ functioning, vibrant ecosystems
✅ food chains, pest control, and pollination
✅ the health of other animals and humans!
 
 #OneHealth https://t.co/wqm8T81AKv",395,5261
