YearWeek,Percentage,State,Entropy,Actions,stat_code,act_code
2014_47,5.08474576271186,very_low,3.09314567890534,medium,0,1
2015_11,3,very_low,3.3775077505492,medium,0,1
2015_20,5.55555555555556,very_low,2.90500254686314,low,0,0
2015_27,59.6899224806202,very_high,2.44218545289403,low,4,0
2015_28,5.31914893617021,very_low,3.00516582443367,medium,0,1
2015_36,16.1616161616162,low,3.1310221837036,medium,1,1
2015_37,9.09090909090909,very_low,3.32148175751092,medium,0,1
2015_38,16.8224299065421,low,3.43665582081967,medium,1,1
2015_40,13.0952380952381,low,3.37382636648696,medium,1,1
2015_41,0.884955752212389,very_low,3.51929383546037,medium,0,1
2015_47,4.57516339869281,very_low,3.8071878703797,medium,0,1
2015_50,13.7096774193548,low,3.34617729829042,medium,1,1
2015_6,8.69565217391304,very_low,2.9678422596402,low,0,0
2016_11,1.0752688172043,very_low,3.63780527051504,medium,0,1
2016_16,60.625,very_high,2.80182498354015,low,4,0
2016_17,12.280701754386,low,3.59032805767518,medium,1,1
2016_2,11.6279069767442,low,3.12073242090729,medium,1,1
2016_20,7.4468085106383,very_low,2.87541426277644,low,0,0
2016_27,8.27067669172932,very_low,3.51244791854455,medium,0,1
2016_3,4.54545454545455,very_low,2.81697941648262,low,0,0
2016_32,23.0769230769231,medium,3.20524923262232,medium,2,1
2016_38,1.68350168350168,very_low,4.16194891701293,high,0,2
2016_39,2.24719101123596,very_low,3.97198383023788,medium,0,1
2016_40,19.9170124481328,low,3.57549754576733,medium,1,1
2016_46,4.66321243523316,very_low,3.37337719306426,medium,0,1
2016_48,5.6,very_low,5.02557580118578,high,0,2
2017_40,3.79965457685665,very_low,3.95166491920299,medium,0,1
2017_41,17.8852643419573,low,3.68642093165964,medium,1,1
2017_42,2.78969957081545,very_low,3.53353353834474,medium,0,1
2017_45,0.853242320819113,very_low,4.38841000766312,high,0,2
2018_20,1.62271805273834,very_low,4.65330674685343,high,0,2
2018_40,6.98324022346369,very_low,4.05244863760827,high,0,2
2018_41,4.57746478873239,very_low,4.02414377044275,high,0,2
2018_43,5.36480686695279,very_low,4.17135516249294,high,0,2
2018_44,0.637348629700446,very_low,5.40313527888267,high,0,2
2018_45,1.16666666666667,very_low,4.8708992746689,high,0,2
2018_46,1.1864406779661,very_low,5.15837272920031,high,0,2
2018_47,8.37696335078534,very_low,4.69888051008213,high,0,2
2019_11,3.1021897810219,very_low,4.12549864156613,high,0,2
2019_18,4.41640378548896,very_low,4.48504116067901,high,0,2
2019_23,1.28388017118402,very_low,4.28057655497751,high,0,2
2019_25,2.11946050096339,very_low,4.5410655939302,high,0,2
2019_27,12.1919584954604,low,4.11680051686429,high,1,2
2019_29,11.7647058823529,low,3.62926286984556,medium,1,1
2019_36,1.39251523063533,very_low,5.19027928559821,high,0,2
2019_44,3.07342060330108,very_low,5.38725384619685,high,0,2
2019_45,2.9320987654321,very_low,4.95136461052256,high,0,2
2019_47,3.41246290801187,very_low,5.06451423059845,high,0,2
2020_12,10.7216494845361,low,4.07043733668079,high,1,2
2020_13,5.03512880562061,very_low,4.68518952249327,high,0,2
2020_14,6.11735330836454,very_low,4.57962964322596,high,0,2
2020_16,25.6410256410256,medium,4.1642647837541,high,2,2
2020_17,5.88842975206612,very_low,4.21745109141943,high,0,2
2020_18,12.1111111111111,low,4.75513198301995,high,1,2
2020_20,17.3783515392254,low,4.74888778365649,high,1,2
2020_21,14.0073081607795,low,4.52134586214695,high,1,2
2020_22,14.828431372549,low,4.669247975277,high,1,2
2020_23,16.1105815061964,low,5.14829255556464,high,1,2
2020_24,1.81311018131102,very_low,4.3735665866766,high,0,2
2020_25,2.74348422496571,very_low,4.56732100013179,high,0,2
