expert,state,intDay_ratio,deaths,cases,deaths_std,cases_std,lengthOFtweet,weekday,numbTweetsPerWeek,url,hashtag,mention
18585425,very_low,0,0,0,0,0,17,1,1,0.666666666666667,1.33333333333333,0
18585425,medium,0,19833740,119269883,0,0,13,7,1,1,2,0
80811754,very_low,0.25,11800138,280867209,10618326,208942929,36.25,7,64.5,1.25,10.5,0.25
80811754,low,0,22231363,380857848,7024906,55051684,42,4,7,1,2.66666666666667,0.333333333333333
80811754,high,0,28722867,838573445,0,0,35,3,359,1,8,1
2826426188,very_low,0.1961,10500970,227869553,11361077,200891565,31.2930750077809,5,0.45,1.25581395348837,2.6937984496124,0.344961240310077
2826426188,low,0.4375,14038147,277643892,11001809,159098580,20.9333333333333,2,0.16,1.3091922005571,3.07520891364903,0.242339832869081
2826426188,medium,0.5,20854208,273791836,12563493,150552983,33.1567637708492,4,0.5,1.32608695652174,2.80434782608696,0.0217391304347826
2826426188,high,1,11481420,268999959,10439018,48838373,31.2372377622378,3,1.5,0.9,3.2,0
2826426188,very_high,1,2621535,70266795,4540631,121705660,37.75,1,0.33,0.952380952380952,3.04761904761905,0.428571428571429
8.87693897652097E+017,very_low,0.1875,8213967,140333142,10213835,145322242,36.96875,5,1.13,1.38888888888889,5.77777777777778,1.61111111111111
8.87693897652097E+017,medium,0,0,0,0,0,26,5,1,1,6,0
8.87693897652097E+017,very_high,0,226893,4322224,0,0,40.8333333333333,7,6,1.16666666666667,5.5,2.83333333333333
